image: image_141.jpg, index: 141, steering: -1.0, throttle: 0.445098876953125
image: image_142.jpg, index: 142, steering: -1.0, throttle: 0.445098876953125
image: image_143.jpg, index: 143, steering: -1.0, throttle: 0.445098876953125
image: image_144.jpg, index: 144, steering: -1.0, throttle: 0.4490203857421875
image: image_145.jpg, index: 145, steering: -1.0, throttle: 0.4490203857421875
image: image_146.jpg, index: 146, steering: -1.0, throttle: 0.4490203857421875
image: image_147.jpg, index: 147, steering: -1.0, throttle: 0.4568634033203125
image: image_148.jpg, index: 148, steering: -1.0, throttle: 0.4568634033203125
image: image_149.jpg, index: 149, steering: -1.0, throttle: 0.4568634033203125
image: image_150.jpg, index: 150, steering: -1.0, throttle: 0.4568634033203125
image: image_151.jpg, index: 151, steering: -1.0, throttle: 0.460784912109375
image: image_152.jpg, index: 152, steering: -1.0, throttle: 0.460784912109375
image: image_153.jpg, index: 153, steering: -1.0, throttle: 0.460784912109375
image: image_154.jpg, index: 154, steering: -1.0, throttle: 0.460784912109375
image: image_155.jpg, index: 155, steering: -1.0, throttle: 0.460784912109375
image: image_156.jpg, index: 156, steering: -1.0, throttle: 0.460784912109375
image: image_157.jpg, index: 157, steering: -1.0, throttle: 0.4686279296875
image: image_158.jpg, index: 158, steering: -1.0, throttle: 0.4686279296875
image: image_159.jpg, index: 159, steering: -1.0, throttle: 0.4686279296875
image: image_160.jpg, index: 160, steering: -1.0, throttle: 0.4686279296875
image: image_161.jpg, index: 161, steering: -1.0, throttle: 0.4686279296875
image: image_162.jpg, index: 162, steering: -1.0, throttle: 0.4686279296875
image: image_163.jpg, index: 163, steering: -1.0, throttle: 0.4686279296875
image: image_164.jpg, index: 164, steering: -1.0, throttle: 0.4686279296875
image: image_165.jpg, index: 165, steering: -1.0, throttle: 0.4686279296875
image: image_166.jpg, index: 166, steering: -0.63922119140625, throttle: 0.4686279296875
image: image_167.jpg, index: 167, steering: 0.00390625, throttle: 0.4725494384765625
image: image_168.jpg, index: 168, steering: 0.00390625, throttle: 0.4725494384765625
image: image_169.jpg, index: 169, steering: 0.00390625, throttle: 0.4725494384765625
image: image_170.jpg, index: 170, steering: 0.00390625, throttle: 0.4725494384765625
image: image_171.jpg, index: 171, steering: 0.00390625, throttle: 0.4725494384765625
image: image_172.jpg, index: 172, steering: 0.00390625, throttle: 0.4725494384765625
image: image_173.jpg, index: 173, steering: 0.00390625, throttle: 0.4725494384765625
image: image_174.jpg, index: 174, steering: 0.00390625, throttle: 0.4725494384765625
image: image_175.jpg, index: 175, steering: 0.00390625, throttle: 0.4568634033203125
image: image_176.jpg, index: 176, steering: 0.00390625, throttle: 0.4568634033203125
image: image_177.jpg, index: 177, steering: 0.00390625, throttle: 0.445098876953125
image: image_178.jpg, index: 178, steering: 0.00390625, throttle: 0.437255859375
image: image_179.jpg, index: 179, steering: 0.00390625, throttle: 0.4333343505859375
image: image_180.jpg, index: 180, steering: -0.13726806640625, throttle: 0.4490203857421875
image: image_181.jpg, index: 181, steering: -0.29412841796875, throttle: 0.4490203857421875
image: image_182.jpg, index: 182, steering: -0.333343505859375, throttle: 0.4490203857421875
image: image_183.jpg, index: 183, steering: -0.29412841796875, throttle: 0.4254913330078125
image: image_184.jpg, index: 184, steering: -0.113739013671875, throttle: 0.42156982421875
